CaseID,Activity,Timestamp,MineName,MineType,MineTypeGroup,Inspectorate,MineStatus,AdministeredBy,MineCluster,Region,MineAddress,MineAddressTown,MineAddressState,MineAddressPostalCode,MineDecLat,MineDecLon,EventID,EventType (1A),HazardClass,HazardType,Incident Type (5A),Surface or Underground (5A),Hazard Code Description (5A),InspectionType (MRE),Status (MRE),DisplayTitle (CA),Section (CA),Directive_disp (CA),CANumber
MI00750,Action,2017-03-13 08:13:00,Moranbah North,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,C- Moranbah,Central,1164 Goonyella Road,Moranbah,QLD,4744.0,-21.88576,147.96564,962,,,,,,,Inspection,Closed,Recommendation,,,2.0
MI00750,Action,2017-03-13 08:17:00,Moranbah North,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,C- Moranbah,Central,1164 Goonyella Road,Moranbah,QLD,4744.0,-21.88576,147.96564,963,,,,,,,Inspection,Closed,Recommendation,,,3.0
MI01258,Incident,2017-03-13 12:10:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,964,High Potential Incident,Gravity,Rock fall - Surface,High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI00806,Incident,2017-03-13 15:00:00,Mt Isa - Isa Copper Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,MI- Mount Isa,Northern,,,,,-20.72484,139.478149,965,High Potential Incident,Gravity,Fall of equipment/material,High potential no lost time,underground,Falling/flying material/objects,,,,,,
MI01258,Incident,2017-03-13 15:15:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,966,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI00594,Incident,2017-03-13 15:32:00,Hail Creek,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,,,,,,-21.5,148.34391,967,High Potential Incident,Explosives,Explosives - Person breaching exclusion zone,High potential no lost time,surface,Other,,,,,,
MI01473,Inspection,2017-03-14 00:00:00,Black River Quarry,Metalliferous - Quarry,Quarry,MMQ,Operating,Townsville Office,T- Townsville / Ayr,Northern,,,,,-19.26207,146.57356,968,,,,,,,SafeGuard Systems Audit,Closed,,,,
MI01539,Inspection,2017-03-14 00:00:00,Eloise,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,,,,,,,-20.95,140.9809,969,,,,,,,Inspection,Closed,,,,
MI00693,Inspection,2017-03-14 00:00:00,Malcolm Guy Mine,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Brisbane Office,B- Southern Downs,Southern,142 Strudwicks Road,Yangan,QLD,4370.0,-28.20291,152.209351,970,,,,,,,Inspection,Closed,,,,
MI02657,Inspection,2017-03-14 00:00:00,Ernest Henry - Underground,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,MI- Cloncurry,Northern,,,,,-20.44599,140.702589,971,,,,,,,Inspection,Closed,,,,
MI00568,Incident,2017-03-14 08:00:00,Goonyella Riverside,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-21.7581,147.95235,972,High Potential Incident,Electrical,Arc flash/blast,High potential no lost time,surface,Electrical equipment,,,,,,
MI01808,Incident,2017-03-14 13:15:00,QCoal Northern Hub (Sonoma - Cows - Drake 1 & 2 - Jax),Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,C- Mackay,Central,Bowen Developmental Road,Collinsville,QLD,4804.0,-20.63823,147.85616,973,High Potential Incident,Gravity,Fall of ground-Surface,High potential no lost time,surface,Strata failure,,,,,,
MI00724,Inspection,2017-03-15 00:00:00,Pink Gum Lane Quarry,Metalliferous - Quarry,Quarry,MMQ,Operating,Brisbane Office,B- Southern Downs,Southern,,,,,-28.20052,151.927305,974,,,,,,,Inspection,Closed,,,,
MI02079,Inspection,2017-03-15 00:00:00,Braeside No 2 Quarry,Metalliferous - Quarry,Quarry,MMQ,Operating,Brisbane Office,B- Southern Downs,Southern,,,,,-28.38177,151.916238,975,,,,,,,Inspection,Closed,,,,
MI00094,Inspection,2017-03-15 00:00:00,Cannington Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,,,,,,,-21.86,140.91861,976,,,,,,,Inspection,Closed,,,,
