Dataset_Type,Dataset_Category,Checkpoint_Percentage,Method,N_Datasets,N_Experiments,ARI_Mean,ARI_Std,ARI_Best,NMI_Mean,NMI_Std,NMI_Best,Silhouette_Score_Mean,Silhouette_Score_Std,Silhouette_Score_Best,F-score_Mean,F-score_Std,F-score_Best,Log_Precision_Mean,Log_Precision_Std,Log_Precision_Best,Log_Fitness_Mean,Log_Fitness_Std,Log_Fitness_Best
Synthetic,DocReview,80,DupliMend,647,3235,0.5496146379887891,0.3840252874516464,0.9995486756329994,0.7095004371058924,0.2003041614685727,0.9562231910436744,0.4145641492338219,0.3204426592218045,0.9997728285169648,0.6922151978530997,0.0493784053808673,0.8575026300925304,0.7699838726364763,0.0541011558272141,0.9087555393329764,0.7097460108273367,0.0519734123549726,0.9235555023462442
Synthetic,DocReview,100,DupliMend,647,3235,0.5408354860364557,0.3885797754922988,0.9997286075438204,0.711458588814153,0.1997035306239047,0.9583113209513828,0.4038377373286971,0.3336413189727462,0.9992367553281742,0.6919457546648281,0.0495793595187646,0.8569725113215005,0.7691073528483313,0.0541021001106024,0.9020216973463204,0.7101071964105491,0.0521743742531032,0.9284608373016614
Synthetic,DuplicatedTasks,20,DupliMend,648,3240,0.5246382885639291,0.3998810124239477,0.9995499984213808,0.7007838705797161,0.206495530513517,0.959312488842373,0.4062231173489493,0.3191779643627979,0.9997345172200256,0.6856722693404851,0.0492260118065238,0.8602082895832205,0.7638409983571134,0.0515200571744892,0.9101992355532832,0.7051058009478192,0.0536006843775479,0.9312973528341474
Synthetic,DuplicatedTasks,40,DupliMend,648,3240,0.5354052895807543,0.3897730277067969,0.9999766744761192,0.7004998218152129,0.2063325764039603,0.9593247945129096,0.4058086314078917,0.3158034819411032,0.9993866046563764,0.6857863172092385,0.0493413744931818,0.8689187034612369,0.7639957495531636,0.0513035530620363,0.9072658726246366,0.7050685036901275,0.0536449552941577,0.9416830635964556
Synthetic,DuplicatedTasks,60,DupliMend,648,3240,0.5331984135897327,0.3889110587217856,0.9993716993066608,0.7008862761940972,0.2060751666331291,0.9581881995837336,0.4030254086134548,0.3290325890009486,0.9995497017659646,0.6860733391980288,0.0495969140196663,0.8617043812611269,0.7640309527552704,0.0512649903794267,0.9027600831637672,0.7048955089562348,0.0529333811096857,0.9214841106862328
Synthetic,DuplicatedTasks,80,DupliMend,648,3240,0.5413159616740997,0.3851201107366752,0.999779903953911,0.7002934835071293,0.2068561438902993,0.9592135621134928,0.3992293597842394,0.3205638839860602,0.9987057502180232,0.6860183356650629,0.049654438589452,0.8675519647980892,0.7638946964369754,0.051710868463596,0.90870844006951,0.7051883985970677,0.0531563040643008,0.938918163793272
Synthetic,DuplicatedTasks,100,DupliMend,648,3240,0.5506348394015038,0.3704585294228423,0.9995045377061784,0.6992289472913459,0.205772234063119,0.9593749732717154,0.4031532999357474,0.3223235645112414,0.9999519343953728,0.6857803693211157,0.0494843111142401,0.8614941005782737,0.7642594757360343,0.0513011326654909,0.9068100272911764,0.7051845414106778,0.0535991821952785,0.949446048916474
Synthetic,I-PALIA,20,DupliMend,2,10,0.3433936480918674,0.0770264297877576,0.4721678287562597,0.7245147282343569,0.0998418648277195,0.8926076286721181,0.572257232039014,0.2303935985350842,0.973249587451374,0.6399370418289486,0.011388559553973,0.6679847532290926,0.6419703677317337,0.023325154922913,0.7080664357974514,0.6384605449177995,0.0123177964033172,0.6729682076581102
Synthetic,I-PALIA,40,DupliMend,2,10,0.4392561914223281,0.0183632389455109,0.4630368465778331,0.7574567773700455,0.1036843395959148,1.0,0.5239619485428213,0.0896338792963704,0.6836468026176047,0.6724995021811717,0.0235467882280714,0.7138549387407269,0.6958575830393668,0.0673754938453235,0.8125004230372135,0.6551036479130701,0.0259648786489705,0.6995313757461358
Synthetic,I-PALIA,60,DupliMend,2,10,0.4976717309611246,0.0173669811074244,0.5218753289878333,0.78569618096528,0.1355961811689886,1.0,0.4256178305191348,0.2875354809246137,0.5912664928330316,0.7389926491124685,0.0217612774935867,0.7689983013794449,0.777671776802968,0.0755825785664971,0.8693124661873046,0.7128128777896944,0.057728020918495,0.816127430972365
Synthetic,I-PALIA,80,DupliMend,2,10,0.5383158404421976,0.0217139082981357,0.5655690000878758,0.8334198416467412,0.0977465808720516,0.9563942975000111,0.291822659854997,0.5426406181295071,0.7011013925913607,0.799637596886927,0.0373824978227223,0.8574981489347644,0.8176560399920045,0.0831366647253565,0.9196034643436112,0.7884724223294204,0.0393730000189995,0.8206686732287453
Synthetic,I-PALIA,100,DupliMend,2,10,0.9456935799302036,0.043766355589497,1.0,0.9932152492433446,0.0074148484612856,1.0,0.7141171693352779,0.6149015551447026,1.0,0.9969190356149426,0.0043933460416089,1.0,0.9972885233621888,0.0057828929196893,1.0,0.9965738150085812,0.0056096268458524,1.0
