2026-08-26 09:03:57,292 - DEBUG - matplotlib data path: /home/savi/duplimend_repro/venv311/lib/python3.11/site-packages/matplotlib/mpl-data
2026-08-26 09:03:57,296 - DEBUG - CONFIGDIR=/home/savi/.config/matplotlib
2026-08-26 09:03:57,297 - DEBUG - interactive is False
2026-08-26 09:03:57,298 - DEBUG - platform is linux
2026-08-26 09:04:09,376 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 113, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,413 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 114, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,458 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 115, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,525 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 116, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,539 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 117, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,553 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 118, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,590 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 119, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,665 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 120, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,722 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 121, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,765 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 122, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,771 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 123, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,784 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 124, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,945 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 125, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,950 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 126, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:10,029 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 127, 'reason': 'update_missing_cluster', 'feature_count': 64}
